club,elo,date
Chelsea,1858.7232666,2018-09-21
Chelsea,1854.90283203,2018-09-24
Chelsea,1855.4921875,2018-09-30
Chelsea,1855.41796875,2018-10-03
Chelsea,1849.21325684,2018-10-04
Chelsea,1851.59423828,2018-10-05
Chelsea,1858.88671875,2018-10-08
Chelsea,1856.73498535,2018-10-21
Chelsea,1857.31958008,2018-10-24
Chelsea,1856.84228516,2018-10-25
Chelsea,1860.60095215,2018-10-26
Chelsea,1869.42700195,2018-10-29
Chelsea,1872.60668945,2018-11-05
Chelsea,1866.19677734,2018-11-07
Chelsea,1872.2220459,2018-11-08
Chelsea,1873.40087891,2018-11-09
Chelsea,1867.45019531,2018-11-12
Chelsea,1859.21032715,2018-11-25
Chelsea,1858.47058105,2018-11-28
Chelsea,1857.63439941,2018-11-29
Chelsea,1864.07373047,2018-11-30
Chelsea,1866.30969238,2018-12-03
Chelsea,1866.30969238,2018-12-04
Chelsea,1853.0534668,2018-12-06
Chelsea,1867.45581055,2018-12-09
Chelsea,1870.62304688,2018-12-12
Chelsea,1868.62683105,2018-12-13
Chelsea,1858.82543945,2018-12-14
Chelsea,1863.04626465,2018-12-17
Chelsea,1849.36315918,2018-12-23
Chelsea,1854.05090332,2018-12-27
Chelsea,1858.68347168,2018-12-31
Chelsea,1851.81982422,2019-01-03
Chelsea,1851.81982422,2019-01-13
Chelsea,1851.81982422,2019-01-20
Chelsea,1851.81982422,2019-02-15
Chelsea,1851.81982422,2019-02-21
Man City,1881.64880371,2015-07-31
Man City,1879.18054199,2015-08-07
Man City,1885.18920898,2015-08-11
Man City,1896.76135254,2015-08-17
Man City,1898.17687988,2015-08-19
Man City,1896.77307129,2015-08-21
Man City,1903.39990234,2015-08-24
Man City,1905.09887695,2015-08-27
Man City,1900.16137695,2015-08-28
Man City,1902.0625,2015-08-30
Man City,1902.0625,2015-08-31
Man City,1905.57336426,2015-09-13
Man City,1887.85681152,2015-09-16
Man City,1884.81054688,2015-09-17
Man City,1885.8828125,2015-09-18
Man City,1870.85925293,2015-09-20
Man City,1870.85925293,2015-09-24
Man City,1852.1583252,2015-09-27
Man City,1845.67529297,2015-09-30
Man City,1858.19714355,2015-10-01
Man City,1856.6895752,2015-10-02
Man City,1860.33300781,2015-10-04
Man City,1863.5871582,2015-10-18
Man City,1868.90087891,2015-10-21
Man City,1877.21240234,2015-10-22
Man City,1872.15563965,2015-10-23
Man City,1871.61022949,2015-10-26
Man City,1873.22717285,2015-11-01
Man City,1892.25305176,2015-11-04
Man City,1891.7989502,2015-11-05
Man City,1894.96655273,2015-11-06
Man City,1894.96655273,2015-11-08
Man City,1887.77697754,2015-11-09
Man City,1865.48034668,2015-11-22
Man City,1868.46057129,2015-11-25
Man City,1859.28515625,2015-11-26
Man City,1861.40515137,2015-11-27
Man City,1866.42504883,2015-11-29
Man City,1849.65905762,2015-12-06
Man City,1857.01037598,2015-12-09
Man City,1863.80664062,2015-12-10
Man City,1864.65563965,2015-12-11
Man City,1867.07324219,2015-12-13
Man City,1860.12854004,2015-12-22
Man City,1863.14990234,2015-12-27
Man City,1860.75476074,2015-12-30
Man City,1864.86584473,2016-01-03
Man City,1859.46813965,2016-01-14
Man City,1865.03894043,2016-01-17
Man City,1861.43029785,2016-01-24
Man City,1864.45495605,2016-02-03
Man City,1847.17260742,2016-02-07
Man City,1836.72766113,2016-02-15
Man City,1836.14172363,2016-02-17
Man City,1835.3626709,2016-02-19
Man City,1834.23901367,2016-02-24
Man City,1849.00878906,2016-02-25
Man City,1858.24951172,2016-02-26
Man City,1841.58496094,2016-03-03
Man City,1844.57617188,2016-03-06
Man City,1842.03198242,2016-03-10
Man City,1837.84423828,2016-03-11
